,age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,wage_class
0,39,government department,Bachelors,13,Alone,Adm-clerical,Not-in-family,White-h1,Male,2174,0,40,United-States,<=50K
1,50,Self-employed,Bachelors,13,Married-h2,Exec-managerial,Husband,White-h1,Male,0,0,13,United-States,<=50K
2,38,Private-h1,HS-grad,9,Alone,Handlers-cleaners,Not-in-family,White-h1,Male,0,0,40,United-States,<=50K
3,53,Private-h1,11th,7,Married-h2,Handlers-cleaners,Husband,Non-White,Male,0,0,40,United-States,<=50K
4,28,Private-h1,Bachelors,13,Married-h2,Prof-specialty,Wife,Non-White,Female,0,0,40,Cuba,<=50K
5,37,Private-h1,Masters,14,Married-h2,Exec-managerial,Wife,White-h1,Female,0,0,40,United-States,<=50K
6,49,Private-h1,9th,5,Alone,Other-service,Not-in-family,Non-White,Female,0,0,16,Jamaica,<=50K
7,52,Self-employed,HS-grad,9,Married-h2,Exec-managerial,Husband,White-h1,Male,0,0,45,United-States,>50K
8,31,Private-h1,Masters,14,Alone,Prof-specialty,Not-in-family,White-h1,Female,14084,0,50,United-States,>50K
9,42,Private-h1,Bachelors,13,Married-h2,Exec-managerial,Husband,White-h1,Male,5178,0,40,United-States,>50K
10,37,Private-h1,Some-college,10,Married-h2,Exec-managerial,Husband,Non-White,Male,0,0,80,United-States,>50K
11,30,government department,Bachelors,13,Married-h2,Prof-specialty,Husband,Non-White,Male,0,0,40,India,>50K
12,23,Private-h1,Bachelors,13,Alone,Adm-clerical,Own-child,White-h1,Female,0,0,30,United-States,<=50K
13,32,Private-h1,Assoc-acdm,12,Alone,Sales,Not-in-family,Non-White,Male,0,0,50,United-States,<=50K
14,34,Private-h1,7th-8th,4,Married-h2,Transport-moving,Husband,Non-White,Male,0,0,45,Mexico,<=50K
15,25,Self-employed,HS-grad,9,Alone,Farming-fishing,Own-child,White-h1,Male,0,0,35,United-States,<=50K
16,32,Private-h1,HS-grad,9,Alone,Machine-op-inspct,Unmarried,White-h1,Male,0,0,40,United-States,<=50K
17,38,Private-h1,11th,7,Married-h2,Sales,Husband,White-h1,Male,0,0,50,United-States,<=50K
18,43,Self-employed,Masters,14,Alone,Exec-managerial,Unmarried,White-h1,Female,0,0,45,United-States,>50K
19,40,Private-h1,Doctorate,16,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,60,United-States,>50K
20,54,Private-h1,HS-grad,9,Married-h2,Other-service,Unmarried,Non-White,Female,0,0,20,United-States,<=50K
21,35,government department,9th,5,Married-h2,Farming-fishing,Husband,Non-White,Male,0,0,40,United-States,<=50K
22,43,Private-h1,11th,7,Married-h2,Transport-moving,Husband,White-h1,Male,0,2042,40,United-States,<=50K
23,59,Private-h1,HS-grad,9,Alone,Tech-support,Unmarried,White-h1,Female,0,0,40,United-States,<=50K
24,56,government department,Bachelors,13,Married-h2,Tech-support,Husband,White-h1,Male,0,0,40,United-States,>50K
25,19,Private-h1,HS-grad,9,Alone,Craft-repair,Own-child,White-h1,Male,0,0,40,United-States,<=50K
26,39,Private-h1,HS-grad,9,Alone,Exec-managerial,Not-in-family,White-h1,Male,0,0,80,United-States,<=50K
27,49,Private-h1,HS-grad,9,Married-h2,Craft-repair,Husband,White-h1,Male,0,0,40,United-States,<=50K
28,23,government department,Assoc-acdm,12,Alone,Protective-serv,Not-in-family,White-h1,Male,0,0,52,United-States,<=50K
29,20,Private-h1,Some-college,10,Alone,Sales,Own-child,Non-White,Male,0,0,44,United-States,<=50K
30,45,Private-h1,Bachelors,13,Alone,Exec-managerial,Own-child,White-h1,Male,0,1408,40,United-States,<=50K
31,30,government department,Some-college,10,Married-h2,Adm-clerical,Own-child,White-h1,Male,0,0,40,United-States,<=50K
32,22,government department,Some-college,10,Married-h2,Other-service,Husband,Non-White,Male,0,0,15,United-States,<=50K
33,48,Private-h1,11th,7,Alone,Machine-op-inspct,Unmarried,White-h1,Male,0,0,40,Puerto-Rico,<=50K
34,21,Private-h1,Some-college,10,Alone,Machine-op-inspct,Own-child,White-h1,Male,0,0,40,United-States,<=50K
35,19,Private-h1,HS-grad,9,Married-h2,Adm-clerical,Wife,White-h1,Female,0,0,25,United-States,<=50K
36,48,Self-employed,Assoc-acdm,12,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,40,United-States,<=50K
37,31,Private-h1,9th,5,Married-h2,Machine-op-inspct,Husband,White-h1,Male,0,0,43,United-States,<=50K
38,53,Self-employed,Bachelors,13,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,40,United-States,<=50K
39,24,Private-h1,Bachelors,13,Married-h2,Tech-support,Husband,White-h1,Male,0,0,50,United-States,<=50K
40,49,Private-h1,HS-grad,9,Married-h2,Adm-clerical,Unmarried,White-h1,Female,0,0,40,United-States,<=50K
41,25,Private-h1,HS-grad,9,Alone,Handlers-cleaners,Not-in-family,White-h1,Male,0,0,35,United-States,<=50K
42,57,government department,Bachelors,13,Married-h2,Prof-specialty,Husband,Non-White,Male,0,0,40,United-States,>50K
43,53,Private-h1,HS-grad,9,Married-h2,Machine-op-inspct,Husband,White-h1,Male,0,0,38,United-States,<=50K
44,44,Private-h1,Masters,14,Alone,Exec-managerial,Unmarried,White-h1,Female,0,0,40,United-States,<=50K
45,41,government department,Assoc-voc,11,Married-h2,Craft-repair,Husband,White-h1,Male,0,0,40,United-States,<=50K
46,29,Private-h1,Assoc-voc,11,Alone,Prof-specialty,Not-in-family,White-h1,Male,0,0,43,United-States,<=50K
47,25,Private-h1,Some-college,10,Married-h2,Exec-managerial,Wife,Non-White,Female,0,0,40,United-States,<=50K
48,47,Private-h1,Prof-school,15,Married-h2,Prof-specialty,Wife,White-h1,Female,0,1902,60,Honduras,>50K
49,50,government department,Bachelors,13,Alone,Exec-managerial,Not-in-family,White-h1,Male,0,0,55,United-States,>50K
